day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2022-02-10,0,0.953253768095796,0,98396,100714,96615,93293,96006,90845,0.8340819764177428,0.8780234070221067,0.8188720173535792,NA,NA,NA,NA,NA,NA
2022-02-11,0,0.9524164900444789,0,98502,100497,97689,92929,95715,91715,0.8375381203215969,0.8656755346896192,0.8219461697722568,NA,NA,NA,NA,NA,NA
2022-02-12,0,0.946574601138459,0,98873,99971,97994,94381,94744,92878,0.8298319327731093,0.8661459736062483,0.7967900595392182,NA,NA,NA,NA,NA,NA
2022-02-13,0,0.9493965406283106,0,98711.5,101001,97984,94217,95890,92469,0.8453248372292965,0.8699406368051807,0.8248648648648649,NA,NA,NA,NA,NA,NA
2022-02-14,0,0.9516166131629215,0,98430,99993,97402,93567.5,95155,90453,0.8529133551608532,0.8636240885768296,0.8227779287849959,NA,NA,NA,NA,NA,NA
2022-02-15,0,0.9536954407355787,0,98538,100783,97530,93639,95639,90383,0.8515413737155219,0.8626936203728013,0.8020346439373109,NA,NA,NA,NA,NA,NA
2022-02-16,0,0.9519272238548488,0,97657,100580,97359,91655,95199,90634,0.84007164790174,0.8725182863113897,0.7878954607977992,NA,NA,NA,NA,NA,NA
2022-02-17,0,0.9518523713157947,0,98022,99818,96962,92197,95012,90732,0.820801317233809,0.8600156698876992,0.8166983954310579,NA,NA,NA,NA,NA,NA
2022-02-18,0,0.9486714062421218,0,98329,99165,96527,93626,94272,89936,0.831877729257642,0.8470002619858528,0.8049934296977661,NA,NA,NA,NA,NA,NA
2022-02-19,0,0.9496716844148139,0,98354,99447,97881,93463,95305,92064,0.8415605095541401,0.870588235294118,0.7930577636459989,NA,NA,NA,NA,NA,NA
2022-02-20,0,0.951617465801863,0,98573,99226,97840,93511,95402,91825,0.8409368865397601,0.875613747954173,0.8176645895421295,NA,NA,NA,NA,NA,NA
2022-02-21,0,0.95368477016195,0,97929.5,99048,97364,92716.5,94883,90283,0.8464938807057054,0.872131147540984,0.8167710318540703,NA,NA,NA,NA,NA,NA
2022-02-22,0,0.9581178239069592,0,98741,101117,97162,94179,96882,89827,0.8353941267387944,0.8689798032107716,0.7980716253443526,NA,NA,NA,NA,NA,NA
2022-02-23,0,0.9593544293758427,0,98123,100872,97012,92526,96772,89625,0.84573153993961,0.8837088837088837,0.7922042272852045,NA,NA,NA,NA,NA,NA
2022-02-24,0,0.9592355423181931,0,98026,100725,97662,92070,96619,90955,0.83503730312241,0.8782766675317935,0.8013154288846259,NA,NA,NA,NA,NA,NA
